,Flag,Session Date,Player,Session,Score
1119,Carried over,2021-11-16,Player 11,Agility,6
1120,Carried over,2021-11-15,Player 11,Agility,6
1121,Actual,2021-11-12,Player 11,Agility,6
1122,Carried over,2021-11-24,Player 11,Agility,4
1123,Carried over,2021-11-23,Player 11,Agility,4
1124,Carried over,2021-11-22,Player 11,Agility,4
1125,Carried over,2021-11-19,Player 11,Agility,4
1126,Actual,2021-11-18,Player 11,Agility,4
1127,Carried over,2021-12-22,Player 11,Agility,9
1128,Carried over,2021-12-21,Player 11,Agility,9
1129,Carried over,2021-12-20,Player 11,Agility,9
1130,Carried over,2021-12-17,Player 11,Agility,9
1131,Carried over,2021-12-16,Player 11,Agility,9
1132,Carried over,2021-12-15,Player 11,Agility,9
1133,Carried over,2021-12-14,Player 11,Agility,9
1134,Carried over,2021-12-13,Player 11,Agility,9
1135,Carried over,2021-12-10,Player 11,Agility,9
1136,Carried over,2021-12-09,Player 11,Agility,9
1137,Carried over,2021-12-08,Player 11,Agility,9
1138,Carried over,2021-12-07,Player 11,Agility,9
1139,Carried over,2021-12-06,Player 11,Agility,9
1140,Carried over,2021-12-03,Player 11,Agility,9
1141,Carried over,2021-12-02,Player 11,Agility,9
1142,Carried over,2021-12-01,Player 11,Agility,9
1143,Carried over,2021-11-30,Player 11,Agility,9
1144,Carried over,2021-11-29,Player 11,Agility,9
1145,Carried over,2021-11-26,Player 11,Agility,9
1146,Actual,2021-11-25,Player 11,Agility,9
1147,Actual,2021-12-23,Player 11,Agility,9
1148,Carried over,2021-12-29,Player 11,Agility,10
1149,Carried over,2021-12-28,Player 11,Agility,10
1150,Carried over,2021-12-27,Player 11,Agility,10
1151,Actual,2021-12-24,Player 11,Agility,10
1152,Actual,2021-12-30,Player 11,Agility,6
1153,Actual,2021-12-31,Player 11,Agility,4
1154,Actual,2022-01-03,Player 11,Agility,10
1155,Actual,2022-01-04,Player 11,Agility,6
1156,Carried over,2022-01-06,Player 11,Agility,9
1157,Actual,2022-01-05,Player 11,Agility,9
1158,Actual,2022-01-07,Player 11,Agility,9
1159,Actual,2022-01-10,Player 11,Agility,3
1160,Carried over,2022-01-12,Player 11,Agility,6
1161,Actual,2022-01-11,Player 11,Agility,6
1162,Carried over,2022-01-14,Player 11,Agility,9
1163,Actual,2022-01-13,Player 11,Agility,9
1164,Actual,2022-01-17,Player 11,Agility,5
1165,Carried over,2022-01-19,Player 11,Agility,5
1166,Actual,2022-01-18,Player 11,Agility,5
1167,Carried over,2022-01-21,Player 11,Agility,7
1168,Actual,2022-01-20,Player 11,Agility,7
1169,Carried over,2022-01-25,Player 11,Agility,7
1170,Actual,2022-01-24,Player 11,Agility,7
1171,Carried over,2022-01-27,Player 11,Agility,3
1172,Actual,2022-01-26,Player 11,Agility,3
1173,Carried over,2022-01-31,Player 11,Agility,8
1174,Actual,2022-01-28,Player 11,Agility,8
1175,Carried over,2022-02-04,Player 11,Agility,9
1176,Carried over,2022-02-03,Player 11,Agility,9
1177,Carried over,2022-02-02,Player 11,Agility,9
1178,Actual,2022-02-01,Player 11,Agility,9
1179,Carried over,2022-02-08,Player 11,Agility,5
1180,Actual,2022-02-07,Player 11,Agility,5
1181,Actual,2022-02-09,Player 11,Agility,8
1182,Actual,2022-02-10,Player 11,Agility,5
1183,Actual,2022-02-11,Player 11,Agility,9
1184,Actual,2022-02-14,Player 11,Agility,6
1185,Carried over,2022-02-16,Player 11,Agility,9
1186,Actual,2022-02-15,Player 11,Agility,9
1187,Actual,2022-02-17,Player 11,Agility,6
1188,Actual,2022-02-18,Player 11,Agility,3
1189,Carried over,2022-02-23,Player 11,Agility,4
1190,Carried over,2022-02-22,Player 11,Agility,4
1191,Actual,2022-02-21,Player 11,Agility,4
1192,Actual,2022-02-24,Player 11,Agility,7
1193,Actual,2022-02-25,Player 11,Agility,7
1194,Actual,2022-02-28,Player 11,Agility,3
1195,Actual,2022-03-01,Player 11,Agility,4
1196,Carried over,2022-03-03,Player 11,Agility,9
1197,Actual,2022-03-02,Player 11,Agility,9
1198,Actual,2022-03-04,Player 11,Agility,8
1199,Carried over,2022-03-08,Player 11,Agility,9
1200,Actual,2022-03-07,Player 11,Agility,9
1201,Actual,2022-03-09,Player 11,Agility,3
1202,Actual,2022-03-10,Player 11,Agility,7
1203,Actual,2022-03-11,Player 11,Agility,8
1204,Actual,2022-03-14,Player 11,Agility,6
1205,Carried over,2022-03-16,Player 11,Agility,7
1206,Actual,2022-03-15,Player 11,Agility,7
1207,Actual,2022-03-17,Player 11,Agility,5
1208,Actual,2022-03-18,Player 11,Agility,7
1209,Carried over,2022-03-22,Player 11,Agility,6
1210,Actual,2022-03-21,Player 11,Agility,6
1211,Actual,2022-03-23,Player 11,Agility,7
1212,Actual,2022-03-24,Player 11,Agility,9
1213,Actual,2022-03-25,Player 11,Agility,5
1214,Actual,2022-03-28,Player 11,Agility,7
1215,Carried over,2022-03-31,Player 11,Agility,10
1216,Carried over,2022-03-30,Player 11,Agility,10
1217,Actual,2022-03-29,Player 11,Agility,10
1218,Actual,2022-04-01,Player 11,Agility,8
1219,Actual,2022-04-04,Player 11,Agility,5
1220,Carried over,2022-04-06,Player 11,Agility,7
1221,Actual,2022-04-05,Player 11,Agility,7
1222,Actual,2022-04-07,Player 11,Agility,3
1223,Actual,2022-04-08,Player 11,Agility,10
1224,Actual,2022-04-11,Player 11,Agility,8
1225,Actual,2022-04-12,Player 11,Agility,7
1226,Carried over,2022-04-14,Player 11,Agility,6
1227,Actual,2022-04-13,Player 11,Agility,6
1228,Actual,2022-04-15,Player 11,Agility,8
1229,Actual,2022-04-18,Player 11,Agility,8
1230,Actual,2022-04-19,Player 11,Agility,4
1231,Actual,2022-04-20,Player 11,Agility,9
1232,Actual,2022-04-21,Player 11,Agility,10
1233,Actual,2022-04-22,Player 11,Agility,8
1234,Actual,2022-04-25,Player 11,Agility,8
1235,Carried over,2022-04-27,Player 11,Agility,9
1236,Actual,2022-04-26,Player 11,Agility,9
1237,Actual,2022-04-28,Player 11,Agility,3
1238,Actual,2022-04-29,Player 11,Agility,4
1239,Actual,2022-05-02,Player 11,Agility,8
1240,Actual,2022-05-03,Player 11,Agility,9
1241,Actual,2022-05-04,Player 11,Agility,5
1242,Carried over,2022-05-06,Player 11,Agility,4
1243,Actual,2022-05-05,Player 11,Agility,4
1244,Actual,2022-05-09,Player 11,Agility,4
1245,Carried over,2022-05-11,Player 11,Agility,6
1246,Actual,2022-05-10,Player 11,Agility,6
1247,Actual,2022-05-12,Player 11,Agility,3
1248,Actual,2022-05-13,Player 11,Agility,8
1249,Actual,2022-05-16,Player 11,Agility,3
1250,Actual,2022-05-17,Player 11,Agility,10
1251,Actual,2022-05-18,Player 11,Agility,10
1252,Actual,2022-05-19,Player 11,Agility,3
1253,Actual,2022-05-20,Player 11,Agility,9
1254,Actual,2022-05-23,Player 11,Agility,6
1255,Actual,2022-05-24,Player 11,Agility,9
1256,Actual,2022-05-25,Player 11,Agility,10
1257,Carried over,2022-05-30,Player 11,Agility,4
1258,Carried over,2022-05-27,Player 11,Agility,4
1259,Actual,2022-05-26,Player 11,Agility,4
1260,Actual,2022-05-31,Player 11,Agility,6
1261,Actual,2022-06-01,Player 11,Agility,4
1262,Carried over,2022-06-03,Player 11,Agility,8
1263,Actual,2022-06-02,Player 11,Agility,8
1264,Actual,2022-06-06,Player 11,Agility,9
1265,Actual,2022-06-07,Player 11,Agility,5
1266,Carried over,2022-06-09,Player 11,Agility,9
1267,Actual,2022-06-08,Player 11,Agility,9
1268,Actual,2022-06-10,Player 11,Agility,7
1269,Actual,2022-06-13,Player 11,Agility,3
1270,Actual,2022-06-14,Player 11,Agility,6
1271,Carried over,2022-06-16,Player 11,Agility,3
1272,Actual,2022-06-15,Player 11,Agility,3
1273,Carried over,2022-06-20,Player 11,Agility,3
1274,Actual,2022-06-17,Player 11,Agility,3
1275,Carried over,2022-06-22,Player 11,Agility,5
1276,Actual,2022-06-21,Player 11,Agility,5
1277,Actual,2022-06-23,Player 11,Agility,4
1278,Carried over,2022-06-27,Player 11,Agility,10
1279,Actual,2022-06-24,Player 11,Agility,10
1280,Actual,2022-06-28,Player 11,Agility,3
1281,Carried over,2022-07-01,Player 11,Agility,4
1282,Carried over,2022-06-30,Player 11,Agility,4
1283,Actual,2022-06-29,Player 11,Agility,4
1284,Actual,2022-07-04,Player 11,Agility,10
1285,Carried over,2022-07-06,Player 11,Agility,10
1286,Actual,2022-07-05,Player 11,Agility,10
1287,Actual,2022-07-07,Player 11,Agility,4
1288,Actual,2022-07-08,Player 11,Agility,5
1289,Actual,2022-07-11,Player 11,Agility,5
1290,Carried over,2022-07-13,Player 11,Agility,8
1291,Actual,2022-07-12,Player 11,Agility,8
1292,Actual,2022-07-14,Player 11,Agility,4
1293,Actual,2022-07-15,Player 11,Agility,7
1294,Carried over,2022-07-19,Player 11,Agility,4
1295,Actual,2022-07-18,Player 11,Agility,4
1296,Carried over,2022-07-22,Player 11,Agility,6
1297,Carried over,2022-07-21,Player 11,Agility,6
1298,Actual,2022-07-20,Player 11,Agility,6
1299,Carried over,2022-07-28,Player 11,Agility,8
1300,Carried over,2022-07-27,Player 11,Agility,8
1301,Carried over,2022-07-26,Player 11,Agility,8
1302,Actual,2022-07-25,Player 11,Agility,8
1303,Actual,2021-08-03,Player 2,Agility,5
1304,Actual,2021-08-04,Player 2,Agility,5
1305,Actual,2021-08-05,Player 2,Agility,9
1306,Carried over,2021-08-11,Player 2,Agility,10
1307,Carried over,2021-08-10,Player 2,Agility,10
1308,Carried over,2021-08-09,Player 2,Agility,10
1309,Actual,2021-08-06,Player 2,Agility,10
1310,Carried over,2021-08-13,Player 2,Agility,7
1311,Actual,2021-08-12,Player 2,Agility,7
1312,Carried over,2021-08-17,Player 2,Agility,9
1313,Actual,2021-08-16,Player 2,Agility,9
1314,Carried over,2021-08-20,Player 2,Agility,6
1315,Carried over,2021-08-19,Player 2,Agility,6
1316,Actual,2021-08-18,Player 2,Agility,6
1317,Actual,2021-08-23,Player 2,Agility,4
1318,Actual,2021-08-24,Player 2,Agility,10
1319,Actual,2021-08-25,Player 2,Agility,3
1320,Carried over,2021-08-31,Player 2,Agility,5
1321,Carried over,2021-08-30,Player 2,Agility,5
1322,Carried over,2021-08-27,Player 2,Agility,5
1323,Actual,2021-08-26,Player 2,Agility,5
1324,Actual,2021-09-01,Player 2,Agility,6
1325,Carried over,2021-09-03,Player 2,Agility,6
1326,Actual,2021-09-02,Player 2,Agility,6
1327,Actual,2021-09-06,Player 2,Agility,6
1328,Actual,2021-09-07,Player 2,Agility,9
1329,Carried over,2021-09-09,Player 2,Agility,6
1330,Actual,2021-09-08,Player 2,Agility,6
1331,Carried over,2021-09-15,Player 2,Agility,6
1332,Carried over,2021-09-14,Player 2,Agility,6
1333,Carried over,2021-09-13,Player 2,Agility,6
1334,Actual,2021-09-10,Player 2,Agility,6
1335,Carried over,2021-09-24,Player 2,Agility,6
1336,Carried over,2021-09-23,Player 2,Agility,6
1337,Carried over,2021-09-22,Player 2,Agility,6
1338,Carried over,2021-09-21,Player 2,Agility,6
1339,Carried over,2021-09-20,Player 2,Agility,6
1340,Carried over,2021-09-17,Player 2,Agility,6
1341,Actual,2021-09-16,Player 2,Agility,6
1342,Carried over,2021-09-29,Player 2,Agility,9
1343,Carried over,2021-09-28,Player 2,Agility,9
1344,Actual,2021-09-27,Player 2,Agility,9
1345,Actual,2021-09-30,Player 2,Agility,6
1346,Carried over,2021-10-06,Player 2,Agility,5
1347,Carried over,2021-10-05,Player 2,Agility,5
1348,Carried over,2021-10-04,Player 2,Agility,5
1349,Actual,2021-10-01,Player 2,Agility,5
1350,Carried over,2021-10-12,Player 2,Agility,9
1351,Carried over,2021-10-11,Player 2,Agility,9
1352,Carried over,2021-10-08,Player 2,Agility,9
1353,Actual,2021-10-07,Player 2,Agility,9
1354,Carried over,2021-10-14,Player 2,Agility,3
1355,Actual,2021-10-13,Player 2,Agility,3
1356,Carried over,2021-10-27,Player 2,Agility,6
1357,Carried over,2021-10-26,Player 2,Agility,6
1358,Carried over,2021-10-25,Player 2,Agility,6
1359,Carried over,2021-10-22,Player 2,Agility,6
1360,Carried over,2021-10-21,Player 2,Agility,6
1361,Carried over,2021-10-20,Player 2,Agility,6
1362,Carried over,2021-10-19,Player 2,Agility,6
1363,Carried over,2021-10-18,Player 2,Agility,6
1364,Actual,2021-10-15,Player 2,Agility,6
1365,Actual,2021-10-28,Player 2,Agility,8
1366,Carried over,2021-11-03,Player 2,Agility,9
1367,Carried over,2021-11-02,Player 2,Agility,9
1368,Carried over,2021-11-01,Player 2,Agility,9
1369,Actual,2021-10-29,Player 2,Agility,9
1370,Carried over,2021-11-09,Player 2,Agility,9
1371,Carried over,2021-11-08,Player 2,Agility,9
1372,Carried over,2021-11-05,Player 2,Agility,9
1373,Actual,2021-11-04,Player 2,Agility,9
1374,Actual,2021-11-10,Player 2,Agility,7
1375,Carried over,2021-11-17,Player 2,Agility,3
1376,Carried over,2021-11-16,Player 2,Agility,3
1377,Carried over,2021-11-15,Player 2,Agility,3
1378,Carried over,2021-11-12,Player 2,Agility,3
1379,Actual,2021-11-11,Player 2,Agility,3
1380,Actual,2021-11-18,Player 2,Agility,10
1381,Carried over,2021-11-23,Player 2,Agility,7
1382,Carried over,2021-11-22,Player 2,Agility,7
1383,Actual,2021-11-19,Player 2,Agility,7
1384,Actual,2021-11-24,Player 2,Agility,9
1385,Actual,2021-11-25,Player 2,Agility,5
1386,Carried over,2021-12-02,Player 2,Agility,8
1387,Carried over,2021-12-01,Player 2,Agility,8
1388,Carried over,2021-11-30,Player 2,Agility,8
1389,Carried over,2021-11-29,Player 2,Agility,8
1390,Actual,2021-11-26,Player 2,Agility,8
1391,Carried over,2021-12-08,Player 2,Agility,4
1392,Carried over,2021-12-07,Player 2,Agility,4
1393,Carried over,2021-12-06,Player 2,Agility,4
1394,Actual,2021-12-03,Player 2,Agility,4
1395,Actual,2021-12-09,Player 2,Agility,7
1396,Carried over,2021-12-21,Player 2,Agility,8
1397,Carried over,2021-12-20,Player 2,Agility,8
1398,Carried over,2021-12-17,Player 2,Agility,8
1399,Carried over,2021-12-16,Player 2,Agility,8
1400,Carried over,2021-12-15,Player 2,Agility,8
1401,Carried over,2021-12-14,Player 2,Agility,8
1402,Carried over,2021-12-13,Player 2,Agility,8
1403,Actual,2021-12-10,Player 2,Agility,8
1404,Carried over,2021-12-23,Player 2,Agility,7
1405,Actual,2021-12-22,Player 2,Agility,7
1406,Carried over,2021-12-31,Player 2,Agility,10
1407,Carried over,2021-12-30,Player 2,Agility,10
1408,Carried over,2021-12-29,Player 2,Agility,10
1409,Carried over,2021-12-28,Player 2,Agility,10
1410,Carried over,2021-12-27,Player 2,Agility,10
1411,Actual,2021-12-24,Player 2,Agility,10
1412,Actual,2022-01-03,Player 2,Agility,9
1413,Actual,2022-01-04,Player 2,Agility,5
1414,Actual,2022-01-05,Player 2,Agility,5
1415,Actual,2022-01-06,Player 2,Agility,9
1416,Carried over,2022-01-11,Player 2,Agility,10
1417,Carried over,2022-01-10,Player 2,Agility,10
1418,Actual,2022-01-07,Player 2,Agility,10
1419,Actual,2022-01-12,Player 2,Agility,5
1420,Carried over,2022-01-14,Player 2,Agility,7
1421,Actual,2022-01-13,Player 2,Agility,7
1422,Actual,2022-01-17,Player 2,Agility,9
1423,Actual,2022-01-18,Player 2,Agility,10
1424,Carried over,2022-01-21,Player 2,Agility,6
1425,Carried over,2022-01-20,Player 2,Agility,6
1426,Actual,2022-01-19,Player 2,Agility,6
1427,Actual,2022-01-24,Player 2,Agility,4
1428,Actual,2022-01-25,Player 2,Agility,10
1429,Actual,2022-01-26,Player 2,Agility,3
1430,Carried over,2022-01-31,Player 2,Agility,5
1431,Carried over,2022-01-28,Player 2,Agility,5
1432,Actual,2022-01-27,Player 2,Agility,5
1433,Actual,2022-02-01,Player 2,Agility,8
1434,Actual,2022-02-02,Player 2,Agility,6
1435,Carried over,2022-02-04,Player 2,Agility,6
1436,Actual,2022-02-03,Player 2,Agility,6
1437,Actual,2022-02-07,Player 2,Agility,6
1438,Actual,2022-02-08,Player 2,Agility,9
1439,Carried over,2022-02-10,Player 2,Agility,6
1440,Actual,2022-02-09,Player 2,Agility,6
1441,Actual,2022-02-11,Player 2,Agility,6
1442,Carried over,2022-02-15,Player 2,Agility,3
1443,Actual,2022-02-14,Player 2,Agility,3
1444,Actual,2022-02-16,Player 2,Agility,7
1445,Carried over,2022-02-18,Player 2,Agility,6
1446,Actual,2022-02-17,Player 2,Agility,6
1447,Carried over,2022-02-23,Player 2,Agility,6
1448,Carried over,2022-02-22,Player 2,Agility,6
1449,Actual,2022-02-21,Player 2,Agility,6
1450,Actual,2022-02-24,Player 2,Agility,4
1451,Actual,2022-02-25,Player 2,Agility,3
1452,Actual,2022-02-28,Player 2,Agility,9
1453,Actual,2022-03-01,Player 2,Agility,6
1454,Actual,2022-03-02,Player 2,Agility,5
1455,Actual,2022-03-03,Player 2,Agility,10
1456,Actual,2022-03-04,Player 2,Agility,7
1457,Actual,2022-03-07,Player 2,Agility,5
1458,Carried over,2022-03-09,Player 2,Agility,9
1459,Actual,2022-03-08,Player 2,Agility,9
1460,Actual,2022-03-10,Player 2,Agility,6
1461,Actual,2022-03-11,Player 2,Agility,8
1462,Actual,2022-03-14,Player 2,Agility,3
1463,Actual,2022-03-15,Player 2,Agility,6
1464,Actual,2022-03-16,Player 2,Agility,6
1465,Actual,2022-03-17,Player 2,Agility,8
1466,Carried over,2022-03-21,Player 2,Agility,7
1467,Actual,2022-03-18,Player 2,Agility,7
1468,Carried over,2022-03-23,Player 2,Agility,4
1469,Actual,2022-03-22,Player 2,Agility,4
1470,Actual,2022-03-24,Player 2,Agility,10
1471,Carried over,2022-03-28,Player 2,Agility,6
1472,Actual,2022-03-25,Player 2,Agility,6
1473,Actual,2022-03-29,Player 2,Agility,8
1474,Carried over,2022-03-31,Player 2,Agility,9
1475,Actual,2022-03-30,Player 2,Agility,9
1476,Actual,2022-04-01,Player 2,Agility,3
1477,Actual,2022-04-04,Player 2,Agility,8
1478,Carried over,2022-04-06,Player 2,Agility,9
1479,Actual,2022-04-05,Player 2,Agility,9
1480,Actual,2022-04-07,Player 2,Agility,3
1481,Actual,2022-04-08,Player 2,Agility,6
1482,Actual,2022-04-11,Player 2,Agility,7
1483,Actual,2022-04-12,Player 2,Agility,3
1484,Actual,2022-04-13,Player 2,Agility,10
1485,Actual,2022-04-14,Player 2,Agility,4
1486,Actual,2022-04-15,Player 2,Agility,3
1487,Actual,2022-04-18,Player 2,Agility,3
1488,Actual,2022-04-19,Player 2,Agility,10
1489,Actual,2022-04-20,Player 2,Agility,7
1490,Actual,2022-04-21,Player 2,Agility,10
1491,Actual,2022-04-22,Player 2,Agility,9
1492,Actual,2022-04-25,Player 2,Agility,9
1493,Actual,2022-04-26,Player 2,Agility,5
1494,Actual,2022-04-27,Player 2,Agility,8
1495,Actual,2022-04-28,Player 2,Agility,8
1496,Carried over,2022-05-03,Player 2,Agility,3
1497,Carried over,2022-05-02,Player 2,Agility,3
1498,Actual,2022-04-29,Player 2,Agility,3
1499,Actual,2022-05-04,Player 2,Agility,4
1500,Actual,2022-05-05,Player 2,Agility,8
1501,Carried over,2022-05-09,Player 2,Agility,4
1502,Actual,2022-05-06,Player 2,Agility,4
1503,Actual,2022-05-10,Player 2,Agility,7
1504,Actual,2022-05-11,Player 2,Agility,8
1505,Actual,2022-05-12,Player 2,Agility,4
1506,Actual,2022-05-13,Player 2,Agility,3
1507,Actual,2022-05-16,Player 2,Agility,8
1508,Carried over,2022-05-18,Player 2,Agility,8
1509,Actual,2022-05-17,Player 2,Agility,8
1510,Carried over,2022-05-20,Player 2,Agility,9
1511,Actual,2022-05-19,Player 2,Agility,9
1512,Carried over,2022-05-24,Player 2,Agility,7
1513,Actual,2022-05-23,Player 2,Agility,7
1514,Actual,2022-05-25,Player 2,Agility,10
1515,Carried over,2022-05-30,Player 2,Agility,6
1516,Carried over,2022-05-27,Player 2,Agility,6
1517,Actual,2022-05-26,Player 2,Agility,6
1518,Carried over,2022-06-01,Player 2,Agility,9
1519,Actual,2022-05-31,Player 2,Agility,9
1520,Actual,2022-06-02,Player 2,Agility,4
1521,Actual,2022-06-03,Player 2,Agility,4
1522,Actual,2022-06-06,Player 2,Agility,10
1523,Carried over,2022-06-09,Player 2,Agility,10
1524,Carried over,2022-06-08,Player 2,Agility,10
1525,Actual,2022-06-07,Player 2,Agility,10
1526,Actual,2022-06-10,Player 2,Agility,8
1527,Actual,2022-06-13,Player 2,Agility,3
1528,Actual,2022-06-14,Player 2,Agility,10
1529,Carried over,2022-06-16,Player 2,Agility,10
1530,Actual,2022-06-15,Player 2,Agility,10
1531,Actual,2022-06-17,Player 2,Agility,4
1532,Carried over,2022-06-21,Player 2,Agility,9
1533,Actual,2022-06-20,Player 2,Agility,9
1534,Actual,2022-06-22,Player 2,Agility,4
1535,Actual,2022-06-23,Player 2,Agility,10
1536,Carried over,2022-06-27,Player 2,Agility,5
1537,Actual,2022-06-24,Player 2,Agility,5
1538,Actual,2022-06-28,Player 2,Agility,9
1539,Actual,2022-06-29,Player 2,Agility,9
1540,Actual,2022-06-30,Player 2,Agility,4
1541,Carried over,2022-07-04,Player 2,Agility,10
1542,Actual,2022-07-01,Player 2,Agility,10
1543,Carried over,2022-07-06,Player 2,Agility,8
1544,Actual,2022-07-05,Player 2,Agility,8
1545,Carried over,2022-07-08,Player 2,Agility,7
1546,Actual,2022-07-07,Player 2,Agility,7
1547,Actual,2022-07-11,Player 2,Agility,3
1548,Actual,2022-07-12,Player 2,Agility,3
1549,Actual,2022-07-13,Player 2,Agility,8
1550,Actual,2022-07-14,Player 2,Agility,6
1551,Carried over,2022-07-27,Player 2,Agility,4
1552,Carried over,2022-07-26,Player 2,Agility,4
1553,Carried over,2022-07-25,Player 2,Agility,4
1554,Carried over,2022-07-22,Player 2,Agility,4
1555,Carried over,2022-07-21,Player 2,Agility,4
1556,Carried over,2022-07-20,Player 2,Agility,4
1557,Carried over,2022-07-19,Player 2,Agility,4
1558,Carried over,2022-07-18,Player 2,Agility,4
1559,Actual,2022-07-15,Player 2,Agility,4
1560,Actual,2021-08-03,Player 15,Cardio,3
1561,Actual,2021-08-04,Player 15,Cardio,3
1562,Actual,2021-08-05,Player 15,Cardio,10
1563,Carried over,2021-08-09,Player 15,Cardio,8
1564,Actual,2021-08-06,Player 15,Cardio,8
1565,Carried over,2021-08-18,Player 15,Cardio,4
1566,Carried over,2021-08-17,Player 15,Cardio,4
1567,Carried over,2021-08-16,Player 15,Cardio,4
1568,Carried over,2021-08-13,Player 15,Cardio,4
1569,Carried over,2021-08-12,Player 15,Cardio,4
1570,Carried over,2021-08-11,Player 15,Cardio,4
1571,Actual,2021-08-10,Player 15,Cardio,4
1572,Carried over,2021-08-25,Player 15,Cardio,5
1573,Carried over,2021-08-24,Player 15,Cardio,5
1574,Carried over,2021-08-23,Player 15,Cardio,5
1575,Carried over,2021-08-20,Player 15,Cardio,5
1576,Actual,2021-08-19,Player 15,Cardio,5
1577,Carried over,2021-08-27,Player 15,Cardio,5
1578,Actual,2021-08-26,Player 15,Cardio,5
1579,Actual,2021-08-30,Player 15,Cardio,8
1580,Carried over,2021-09-01,Player 15,Cardio,7
1581,Actual,2021-08-31,Player 15,Cardio,7
1582,Carried over,2021-09-07,Player 15,Cardio,6
1583,Carried over,2021-09-06,Player 15,Cardio,6
1584,Carried over,2021-09-03,Player 15,Cardio,6
1585,Actual,2021-09-02,Player 15,Cardio,6
1586,Actual,2021-09-08,Player 15,Cardio,7
1587,Actual,2021-09-09,Player 15,Cardio,3
1588,Actual,2021-09-10,Player 15,Cardio,4
1589,Actual,2021-09-13,Player 15,Cardio,4
1590,Carried over,2021-09-15,Player 15,Cardio,7
1591,Actual,2021-09-14,Player 15,Cardio,7
1592,Actual,2021-09-16,Player 15,Cardio,4
1593,Carried over,2021-09-20,Player 15,Cardio,5
1594,Actual,2021-09-17,Player 15,Cardio,5
1595,Carried over,2021-09-23,Player 15,Cardio,7
1596,Carried over,2021-09-22,Player 15,Cardio,7
1597,Actual,2021-09-21,Player 15,Cardio,7
1598,Carried over,2021-08-04,Player 9,Strength Building,4
1599,Carried over,2021-08-03,Player 9,Strength Building,4
1600,Actual,2021-08-02,Player 9,Strength Building,4
1601,Carried over,2021-08-12,Player 9,Strength Building,10
1602,Carried over,2021-08-11,Player 9,Strength Building,10
1603,Carried over,2021-08-10,Player 9,Strength Building,10
1604,Carried over,2021-08-09,Player 9,Strength Building,10
1605,Carried over,2021-08-06,Player 9,Strength Building,10
1606,Actual,2021-08-05,Player 9,Strength Building,10
1607,Carried over,2021-08-16,Player 9,Strength Building,10
1608,Actual,2021-08-13,Player 9,Strength Building,10
1609,Actual,2021-08-17,Player 9,Strength Building,10
1610,Actual,2021-08-18,Player 9,Strength Building,3
1611,Carried over,2021-08-26,Player 9,Strength Building,6
1612,Carried over,2021-08-25,Player 9,Strength Building,6
1613,Carried over,2021-08-24,Player 9,Strength Building,6
1614,Carried over,2021-08-23,Player 9,Strength Building,6
1615,Carried over,2021-08-20,Player 9,Strength Building,6
1616,Actual,2021-08-19,Player 9,Strength Building,6
1617,Actual,2021-08-27,Player 9,Strength Building,3
1618,Actual,2021-08-30,Player 9,Strength Building,7
1619,Carried over,2021-09-02,Player 9,Strength Building,6
1620,Carried over,2021-09-01,Player 9,Strength Building,6
1621,Actual,2021-08-31,Player 9,Strength Building,6
1622,Actual,2021-09-03,Player 9,Strength Building,10
1623,Actual,2021-09-06,Player 9,Strength Building,7
1624,Actual,2021-09-07,Player 9,Strength Building,9
1625,Actual,2021-09-08,Player 9,Strength Building,4
1626,Actual,2021-09-09,Player 9,Strength Building,3
1627,Carried over,2021-09-14,Player 9,Strength Building,9
1628,Carried over,2021-09-13,Player 9,Strength Building,9
1629,Actual,2021-09-10,Player 9,Strength Building,9
1630,Actual,2021-09-15,Player 9,Strength Building,8
1631,Carried over,2021-09-21,Player 9,Strength Building,8
1632,Carried over,2021-09-20,Player 9,Strength Building,8
1633,Carried over,2021-09-17,Player 9,Strength Building,8
1634,Actual,2021-09-16,Player 9,Strength Building,8
1635,Carried over,2021-09-29,Player 9,Strength Building,8
1636,Carried over,2021-09-28,Player 9,Strength Building,8
1637,Carried over,2021-09-27,Player 9,Strength Building,8
1638,Carried over,2021-09-24,Player 9,Strength Building,8
1639,Carried over,2021-09-23,Player 9,Strength Building,8
1640,Actual,2021-09-22,Player 9,Strength Building,8
1641,Carried over,2021-10-05,Player 9,Strength Building,5
1642,Carried over,2021-10-04,Player 9,Strength Building,5
1643,Carried over,2021-10-01,Player 9,Strength Building,5
1644,Actual,2021-09-30,Player 9,Strength Building,5
1645,Carried over,2021-10-27,Player 9,Strength Building,9
1646,Carried over,2021-10-26,Player 9,Strength Building,9
1647,Carried over,2021-10-25,Player 9,Strength Building,9
1648,Carried over,2021-10-22,Player 9,Strength Building,9
1649,Carried over,2021-10-21,Player 9,Strength Building,9
1650,Carried over,2021-10-20,Player 9,Strength Building,9
1651,Carried over,2021-10-19,Player 9,Strength Building,9
1652,Carried over,2021-10-18,Player 9,Strength Building,9
1653,Carried over,2021-10-15,Player 9,Strength Building,9
1654,Carried over,2021-10-14,Player 9,Strength Building,9
1655,Carried over,2021-10-13,Player 9,Strength Building,9
1656,Carried over,2021-10-12,Player 9,Strength Building,9
1657,Carried over,2021-10-11,Player 9,Strength Building,9
1658,Carried over,2021-10-08,Player 9,Strength Building,9
1659,Carried over,2021-10-07,Player 9,Strength Building,9
1660,Actual,2021-10-06,Player 9,Strength Building,9
