,Player,Session,Date,Score
1337,Player 5,Agility,2022-02-24,8
1338,Player 5,Agility,2022-02-25,3
1339,Player 5,Agility,2022-02-28,9
1340,Player 5,Agility,2022-03-01,3
1341,Player 5,Agility,2022-03-02,10
1342,Player 5,Agility,2022-03-04,7
1343,Player 5,Agility,2022-03-08,3
1344,Player 5,Agility,2022-03-11,4
1345,Player 5,Agility,2022-03-14,3
1346,Player 5,Agility,2022-03-16,9
1347,Player 5,Agility,2022-03-17,7
1348,Player 5,Agility,2022-03-18,10
1349,Player 5,Agility,2022-03-22,7
1350,Player 5,Agility,2022-03-23,5
1351,Player 5,Agility,2022-03-24,8
1352,Player 5,Agility,2022-03-25,10
1353,Player 5,Agility,2022-03-28,8
1354,Player 5,Agility,2022-03-29,9
1355,Player 5,Agility,2022-03-30,6
1356,Player 5,Agility,2022-04-01,10
1357,Player 5,Agility,2022-04-04,9
1358,Player 5,Agility,2022-04-08,4
1359,Player 5,Agility,2022-04-11,9
1360,Player 5,Agility,2022-04-12,10
1361,Player 5,Agility,2022-04-13,9
1362,Player 5,Agility,2022-04-14,10
1363,Player 5,Agility,2022-04-15,10
1364,Player 5,Agility,2022-04-18,8
1365,Player 5,Agility,2022-04-19,10
1366,Player 5,Agility,2022-04-20,8
1367,Player 5,Agility,2022-04-21,10
1368,Player 5,Agility,2022-04-22,6
1369,Player 5,Agility,2022-04-25,9
1370,Player 5,Agility,2022-04-26,7
1371,Player 5,Agility,2022-04-28,10
1372,Player 5,Agility,2022-04-29,7
1373,Player 5,Agility,2022-05-02,10
1374,Player 5,Agility,2022-05-03,9
1375,Player 5,Agility,2022-05-06,8
1376,Player 5,Agility,2022-05-11,3
1377,Player 5,Agility,2022-05-12,3
1378,Player 5,Agility,2022-05-13,4
1379,Player 5,Agility,2022-05-17,10
1380,Player 5,Agility,2022-05-18,9
1381,Player 5,Agility,2022-05-19,8
1382,Player 5,Agility,2022-05-24,8
1383,Player 5,Agility,2022-05-26,9
1384,Player 5,Agility,2022-05-30,9
1385,Player 5,Agility,2022-05-31,8
1386,Player 5,Agility,2022-06-01,5
1387,Player 5,Agility,2022-06-02,4
1388,Player 5,Agility,2022-06-03,5
1389,Player 5,Agility,2022-06-07,10
1390,Player 5,Agility,2022-06-09,7
1391,Player 5,Agility,2022-06-13,5
1392,Player 5,Agility,2022-06-14,10
1393,Player 5,Agility,2022-06-15,3
1394,Player 5,Agility,2022-06-16,3
1395,Player 5,Agility,2022-06-17,8
1396,Player 5,Agility,2022-06-20,6
1397,Player 5,Agility,2022-06-22,9
1398,Player 5,Agility,2022-06-23,7
1399,Player 5,Agility,2022-06-29,4
1400,Player 5,Agility,2022-06-30,8
1401,Player 5,Agility,2022-07-01,5
1402,Player 5,Agility,2022-07-04,5
1403,Player 5,Agility,2022-07-07,9
1404,Player 5,Agility,2022-07-11,5
1405,Player 5,Agility,2022-07-13,3
1406,Player 5,Agility,2022-07-15,3
1407,Player 5,Agility,2022-07-18,3
1408,Player 5,Agility,2022-07-19,4
1409,Player 5,Agility,2022-07-20,4
1410,Player 5,Agility,2022-07-21,10
1411,Player 5,Agility,2022-07-22,5
1412,Player 5,Agility,2022-07-25,4
1413,Player 5,Agility,2022-07-27,3
1414,Player 5,Agility,2022-07-28,10
1415,Player 5,Cardio,2022-01-04,4
1416,Player 5,Cardio,2022-01-05,7
1417,Player 5,Cardio,2022-01-07,9
1418,Player 5,Cardio,2022-01-10,8
1419,Player 5,Cardio,2022-01-11,7
1420,Player 5,Cardio,2022-01-17,5
1421,Player 5,Cardio,2022-01-18,4
1422,Player 5,Cardio,2022-01-19,5
1423,Player 5,Cardio,2022-01-20,6
1424,Player 5,Cardio,2022-01-24,3
1425,Player 5,Cardio,2022-01-26,6
1426,Player 5,Cardio,2022-01-27,3
1427,Player 5,Cardio,2022-01-28,5
1428,Player 5,Cardio,2022-02-04,4
1429,Player 5,Cardio,2022-02-07,10
1430,Player 5,Cardio,2022-02-08,6
1431,Player 5,Cardio,2022-02-09,4
1432,Player 5,Cardio,2022-02-10,6
1433,Player 5,Cardio,2022-02-11,8
1434,Player 5,Cardio,2022-02-15,6
1435,Player 5,Cardio,2022-02-16,3
1436,Player 5,Cardio,2022-02-17,9
1437,Player 5,Cardio,2022-02-21,5
1438,Player 5,Cardio,2022-02-23,4
1439,Player 5,Cardio,2022-02-24,10
1440,Player 5,Cardio,2022-02-28,6
1441,Player 5,Cardio,2022-03-01,3
1442,Player 5,Cardio,2022-03-02,3
1443,Player 5,Cardio,2022-03-07,9
1444,Player 5,Cardio,2022-03-09,8
1445,Player 5,Cardio,2022-03-10,8
1446,Player 5,Cardio,2022-03-15,3
1447,Player 5,Cardio,2022-03-16,8
1448,Player 5,Cardio,2022-03-24,3
1449,Player 5,Cardio,2022-03-25,9
1450,Player 5,Cardio,2022-03-28,3
1451,Player 5,Cardio,2022-03-29,6
1452,Player 5,Cardio,2022-03-30,9
1453,Player 5,Cardio,2022-03-31,8
1454,Player 5,Cardio,2022-04-01,10
1455,Player 5,Cardio,2022-04-04,3
1456,Player 5,Cardio,2022-04-05,10
1457,Player 5,Cardio,2022-04-07,10
1458,Player 5,Cardio,2022-04-08,9
1459,Player 5,Cardio,2022-04-13,9
1460,Player 5,Cardio,2022-04-18,8
1461,Player 5,Cardio,2022-04-20,6
1462,Player 5,Cardio,2022-04-26,6
1463,Player 5,Cardio,2022-04-28,4
1464,Player 5,Cardio,2022-04-29,5
1465,Player 5,Cardio,2022-05-02,4
1466,Player 5,Cardio,2022-05-03,7
1467,Player 5,Cardio,2022-05-06,10
1468,Player 5,Cardio,2022-05-09,5
1469,Player 5,Cardio,2022-05-11,8
1470,Player 5,Cardio,2022-05-12,4
1471,Player 5,Cardio,2022-05-13,9
1472,Player 5,Cardio,2022-05-18,7
1473,Player 5,Cardio,2022-05-19,9
1474,Player 5,Cardio,2022-05-20,8
1475,Player 5,Cardio,2022-05-24,5
1476,Player 5,Cardio,2022-05-26,5
1477,Player 5,Cardio,2022-05-27,4
1478,Player 5,Cardio,2022-05-30,6
1479,Player 5,Cardio,2022-06-01,10
1480,Player 5,Cardio,2022-06-02,7
1481,Player 5,Cardio,2022-06-03,3
1482,Player 5,Cardio,2022-06-07,9
1483,Player 5,Cardio,2022-06-08,3
1484,Player 5,Cardio,2022-06-09,3
1485,Player 5,Cardio,2022-06-10,6
1486,Player 5,Cardio,2022-06-14,3
1487,Player 5,Cardio,2022-06-16,5
1488,Player 5,Cardio,2022-06-17,6
1489,Player 5,Cardio,2022-06-21,10
1490,Player 5,Cardio,2022-06-22,6
1491,Player 5,Cardio,2022-06-23,4
1492,Player 5,Cardio,2022-06-27,6
1493,Player 5,Cardio,2022-06-28,8
1494,Player 5,Cardio,2022-07-01,8
1495,Player 5,Cardio,2022-07-04,4
1496,Player 5,Cardio,2022-07-05,10
1497,Player 5,Cardio,2022-07-07,5
1498,Player 5,Cardio,2022-07-08,7
1499,Player 5,Cardio,2022-07-11,4
1500,Player 5,Cardio,2022-07-12,5
1501,Player 5,Cardio,2022-07-13,10
1502,Player 5,Cardio,2022-07-14,8
1503,Player 5,Cardio,2022-07-15,3
1504,Player 5,Cardio,2022-07-18,4
1505,Player 5,Cardio,2022-07-20,10
1506,Player 5,Cardio,2022-07-22,9
1507,Player 5,Cardio,2022-07-28,3
1508,Player 6,Strength Building,2022-01-04,9
1509,Player 6,Strength Building,2022-01-05,7
1510,Player 6,Strength Building,2022-01-07,10
1511,Player 6,Strength Building,2022-01-10,3
1512,Player 6,Strength Building,2022-01-11,5
1513,Player 6,Strength Building,2022-01-12,6
1514,Player 6,Strength Building,2022-01-13,5
1515,Player 6,Strength Building,2022-01-17,4
1516,Player 6,Strength Building,2022-01-19,6
1517,Player 6,Strength Building,2022-01-21,3
1518,Player 6,Strength Building,2022-01-26,10
1519,Player 6,Strength Building,2022-01-27,4
1520,Player 6,Strength Building,2022-02-01,3
1521,Player 6,Strength Building,2022-02-02,7
1522,Player 6,Strength Building,2022-02-03,4
1523,Player 6,Strength Building,2022-02-07,6
1524,Player 6,Strength Building,2022-02-09,3
1525,Player 6,Strength Building,2022-02-11,10
1526,Player 6,Strength Building,2022-02-15,4
1527,Player 6,Strength Building,2022-02-17,8
1528,Player 6,Strength Building,2022-02-18,8
1529,Player 6,Strength Building,2022-02-21,8
1530,Player 6,Strength Building,2022-02-22,7
1531,Player 6,Strength Building,2022-02-23,3
1532,Player 6,Strength Building,2022-02-24,10
1533,Player 6,Strength Building,2022-02-28,5
1534,Player 6,Strength Building,2022-03-01,3
1535,Player 6,Strength Building,2022-03-02,10
1536,Player 6,Strength Building,2022-03-04,5
1537,Player 6,Strength Building,2022-03-07,8
1538,Player 6,Strength Building,2022-03-09,3
1539,Player 6,Strength Building,2022-03-10,8
1540,Player 6,Strength Building,2022-03-14,3
1541,Player 6,Strength Building,2022-03-15,3
1542,Player 6,Strength Building,2022-03-16,5
1543,Player 6,Strength Building,2022-03-21,3
1544,Player 6,Strength Building,2022-03-22,6
1545,Player 6,Strength Building,2022-03-23,9
1546,Player 6,Strength Building,2022-03-25,8
1547,Player 6,Strength Building,2022-03-30,5
1548,Player 6,Strength Building,2022-03-31,7
1549,Player 6,Strength Building,2022-04-01,10
1550,Player 6,Strength Building,2022-04-05,3
1551,Player 6,Strength Building,2022-04-06,4
1552,Player 6,Strength Building,2022-04-07,3
1553,Player 6,Strength Building,2022-04-11,10
1554,Player 6,Strength Building,2022-04-12,3
1555,Player 6,Strength Building,2022-04-14,10
1556,Player 6,Strength Building,2022-04-15,10
1557,Player 6,Strength Building,2022-04-18,9
1558,Player 6,Strength Building,2022-04-19,8
1559,Player 6,Strength Building,2022-04-20,6
1560,Player 6,Strength Building,2022-04-21,3
1561,Player 6,Strength Building,2022-04-22,10
1562,Player 6,Strength Building,2022-04-25,10
1563,Player 6,Strength Building,2022-04-28,5
1564,Player 6,Strength Building,2022-04-29,10
1565,Player 6,Strength Building,2022-05-02,4
1566,Player 6,Strength Building,2022-05-04,5
1567,Player 6,Strength Building,2022-05-06,6
1568,Player 6,Strength Building,2022-05-09,10
1569,Player 6,Strength Building,2022-05-10,7
1570,Player 6,Strength Building,2022-05-11,6
1571,Player 6,Strength Building,2022-05-12,3
1572,Player 6,Strength Building,2022-05-13,7
1573,Player 6,Strength Building,2022-05-16,6
1574,Player 6,Strength Building,2022-05-17,6
1575,Player 6,Strength Building,2022-05-18,10
1576,Player 6,Strength Building,2022-05-19,5
1577,Player 6,Strength Building,2022-05-26,5
1578,Player 6,Strength Building,2022-05-27,8
1579,Player 6,Strength Building,2022-05-30,3
1580,Player 6,Strength Building,2022-05-31,10
1581,Player 6,Strength Building,2022-06-02,7
1582,Player 6,Strength Building,2022-06-03,8
1583,Player 6,Strength Building,2022-06-08,8
1584,Player 6,Strength Building,2022-06-10,4
1585,Player 6,Strength Building,2022-06-13,6
1586,Player 6,Strength Building,2022-06-14,7
1587,Player 6,Strength Building,2022-06-15,8
1588,Player 6,Strength Building,2022-06-16,3
1589,Player 6,Strength Building,2022-06-17,4
1590,Player 6,Strength Building,2022-06-20,10
1591,Player 6,Strength Building,2022-06-21,4
1592,Player 6,Strength Building,2022-06-22,4
1593,Player 6,Strength Building,2022-06-23,8
1594,Player 6,Strength Building,2022-06-24,5
1595,Player 6,Strength Building,2022-06-27,4
1596,Player 6,Strength Building,2022-06-30,5
1597,Player 6,Strength Building,2022-07-01,10
1598,Player 6,Strength Building,2022-07-04,10
1599,Player 6,Strength Building,2022-07-05,9
1600,Player 6,Strength Building,2022-07-06,4
1601,Player 6,Strength Building,2022-07-07,6
1602,Player 6,Strength Building,2022-07-12,10
1603,Player 6,Strength Building,2022-07-13,10
1604,Player 6,Strength Building,2022-07-14,5
1605,Player 6,Strength Building,2022-07-18,7
1606,Player 6,Strength Building,2022-07-19,8
1607,Player 6,Strength Building,2022-07-21,6
1608,Player 6,Strength Building,2022-07-22,4
1609,Player 6,Strength Building,2022-07-25,5
1610,Player 6,Strength Building,2022-07-26,8
1611,Player 6,Strength Building,2022-07-29,6
1612,Player 6,Agility,2022-01-06,5
1613,Player 6,Agility,2022-01-07,7
1614,Player 6,Agility,2022-01-10,8
1615,Player 6,Agility,2022-01-11,3
1616,Player 6,Agility,2022-01-12,6
1617,Player 6,Agility,2022-01-13,6
1618,Player 6,Agility,2022-01-14,10
1619,Player 6,Agility,2022-01-17,7
1620,Player 6,Agility,2022-01-19,5
1621,Player 6,Agility,2022-01-20,3
1622,Player 6,Agility,2022-01-25,3
1623,Player 6,Agility,2022-01-26,7
1624,Player 6,Agility,2022-01-28,3
1625,Player 6,Agility,2022-01-31,6
1626,Player 6,Agility,2022-02-01,7
1627,Player 6,Agility,2022-02-02,8
1628,Player 6,Agility,2022-02-07,3
1629,Player 6,Agility,2022-02-09,5
1630,Player 6,Agility,2022-02-10,6
1631,Player 6,Agility,2022-02-15,5
1632,Player 6,Agility,2022-02-21,8
1633,Player 6,Agility,2022-02-25,10
1634,Player 6,Agility,2022-02-28,4
1635,Player 6,Agility,2022-03-03,10
1636,Player 6,Agility,2022-03-04,9
1637,Player 6,Agility,2022-03-07,10
1638,Player 6,Agility,2022-03-09,6
1639,Player 6,Agility,2022-03-10,8
1640,Player 6,Agility,2022-03-14,8
1641,Player 6,Agility,2022-03-15,7
1642,Player 6,Agility,2022-03-16,5
1643,Player 6,Agility,2022-03-17,7
1644,Player 6,Agility,2022-03-18,9
1645,Player 6,Agility,2022-03-21,5
1646,Player 6,Agility,2022-03-22,4
1647,Player 6,Agility,2022-03-23,8
1648,Player 6,Agility,2022-03-29,4
1649,Player 6,Agility,2022-03-30,6
1650,Player 6,Agility,2022-04-01,9
1651,Player 6,Agility,2022-04-04,5
1652,Player 6,Agility,2022-04-06,6
1653,Player 6,Agility,2022-04-07,4
1654,Player 6,Agility,2022-04-11,4
1655,Player 6,Agility,2022-04-12,3
1656,Player 6,Agility,2022-04-13,3
1657,Player 6,Agility,2022-04-15,7
1658,Player 6,Agility,2022-04-19,4
1659,Player 6,Agility,2022-04-20,6
1660,Player 6,Agility,2022-04-25,7
1661,Player 6,Agility,2022-04-26,10
1662,Player 6,Agility,2022-04-27,9
1663,Player 6,Agility,2022-04-28,5
1664,Player 6,Agility,2022-04-29,5
1665,Player 6,Agility,2022-05-02,5
1666,Player 6,Agility,2022-05-06,7
1667,Player 6,Agility,2022-05-09,7
1668,Player 6,Agility,2022-05-10,9
1669,Player 6,Agility,2022-05-11,10
1670,Player 6,Agility,2022-05-12,4
1671,Player 6,Agility,2022-05-19,9
1672,Player 6,Agility,2022-05-20,3
1673,Player 6,Agility,2022-05-24,5
1674,Player 6,Agility,2022-05-25,9
1675,Player 6,Agility,2022-05-26,10
1676,Player 6,Agility,2022-05-27,3
1677,Player 6,Agility,2022-05-31,9
1678,Player 6,Agility,2022-06-03,5
1679,Player 6,Agility,2022-06-06,3
1680,Player 6,Agility,2022-06-07,5
1681,Player 6,Agility,2022-06-09,7
1682,Player 6,Agility,2022-06-10,7
1683,Player 6,Agility,2022-06-14,4
1684,Player 6,Agility,2022-06-15,8
1685,Player 6,Agility,2022-06-16,4
1686,Player 6,Agility,2022-06-17,5
1687,Player 6,Agility,2022-06-20,4
1688,Player 6,Agility,2022-06-21,4
1689,Player 6,Agility,2022-06-22,4
1690,Player 6,Agility,2022-06-27,4
1691,Player 6,Agility,2022-06-28,5
1692,Player 6,Agility,2022-06-29,9
1693,Player 6,Agility,2022-07-01,7
1694,Player 6,Agility,2022-07-05,4
1695,Player 6,Agility,2022-07-06,10
1696,Player 6,Agility,2022-07-08,6
1697,Player 6,Agility,2022-07-11,4
1698,Player 6,Agility,2022-07-12,9
1699,Player 6,Agility,2022-07-13,7
1700,Player 6,Agility,2022-07-14,3
1701,Player 6,Agility,2022-07-18,5
1702,Player 6,Agility,2022-07-19,9
1703,Player 6,Agility,2022-07-20,3
1704,Player 6,Agility,2022-07-21,8
1705,Player 6,Agility,2022-07-25,6
1706,Player 6,Agility,2022-07-26,5
1707,Player 6,Agility,2022-07-27,4
1708,Player 6,Agility,2022-07-28,10
1709,Player 6,Agility,2022-07-29,7
1710,Player 6,Cardio,2022-01-05,8
1711,Player 6,Cardio,2022-01-06,7
1712,Player 6,Cardio,2022-01-10,6
1713,Player 6,Cardio,2022-01-11,8
1714,Player 6,Cardio,2022-01-12,10
1715,Player 6,Cardio,2022-01-13,7
1716,Player 6,Cardio,2022-01-14,3
1717,Player 6,Cardio,2022-01-17,5
1718,Player 6,Cardio,2022-01-19,7
1719,Player 6,Cardio,2022-01-20,8
1720,Player 6,Cardio,2022-01-25,5
1721,Player 6,Cardio,2022-01-26,6
1722,Player 6,Cardio,2022-01-27,3
1723,Player 6,Cardio,2022-01-28,5
1724,Player 6,Cardio,2022-01-31,5
1725,Player 6,Cardio,2022-02-01,8
1726,Player 6,Cardio,2022-02-03,3
1727,Player 6,Cardio,2022-02-07,5
1728,Player 6,Cardio,2022-02-10,7
1729,Player 6,Cardio,2022-02-11,10
1730,Player 6,Cardio,2022-02-15,6
1731,Player 6,Cardio,2022-02-18,9
1732,Player 6,Cardio,2022-02-21,9
1733,Player 6,Cardio,2022-02-23,6
1734,Player 6,Cardio,2022-02-25,9
1735,Player 6,Cardio,2022-03-03,9
1736,Player 6,Cardio,2022-03-04,7
1737,Player 6,Cardio,2022-03-08,4
1738,Player 6,Cardio,2022-03-10,5
1739,Player 6,Cardio,2022-03-11,4
1740,Player 6,Cardio,2022-03-15,4
1741,Player 6,Cardio,2022-03-16,5
1742,Player 6,Cardio,2022-03-17,8
1743,Player 6,Cardio,2022-03-18,3
1744,Player 6,Cardio,2022-03-21,4
1745,Player 6,Cardio,2022-03-23,8
1746,Player 6,Cardio,2022-03-24,3
1747,Player 6,Cardio,2022-03-29,3
1748,Player 6,Cardio,2022-03-30,9
1749,Player 6,Cardio,2022-03-31,4
1750,Player 6,Cardio,2022-04-01,3
1751,Player 6,Cardio,2022-04-04,8
1752,Player 6,Cardio,2022-04-05,9
1753,Player 6,Cardio,2022-04-06,6
1754,Player 6,Cardio,2022-04-07,7
1755,Player 6,Cardio,2022-04-08,8
1756,Player 6,Cardio,2022-04-12,4
1757,Player 6,Cardio,2022-04-13,7
1758,Player 6,Cardio,2022-04-14,5
1759,Player 6,Cardio,2022-04-18,8
1760,Player 6,Cardio,2022-04-19,6
1761,Player 6,Cardio,2022-04-21,4
1762,Player 6,Cardio,2022-04-22,9
1763,Player 6,Cardio,2022-04-25,3
1764,Player 6,Cardio,2022-04-28,9
1765,Player 6,Cardio,2022-05-02,3
1766,Player 6,Cardio,2022-05-03,9
1767,Player 6,Cardio,2022-05-04,5
1768,Player 6,Cardio,2022-05-05,4
1769,Player 6,Cardio,2022-05-06,8
1770,Player 6,Cardio,2022-05-09,9
1771,Player 6,Cardio,2022-05-10,5
1772,Player 6,Cardio,2022-05-11,8
1773,Player 6,Cardio,2022-05-12,7
1774,Player 6,Cardio,2022-05-20,5
1775,Player 6,Cardio,2022-05-23,6
1776,Player 6,Cardio,2022-05-24,5
1777,Player 6,Cardio,2022-05-25,3
1778,Player 6,Cardio,2022-05-26,4
1779,Player 6,Cardio,2022-05-27,9
1780,Player 6,Cardio,2022-05-30,5
1781,Player 6,Cardio,2022-05-31,5
1782,Player 6,Cardio,2022-06-01,10
1783,Player 6,Cardio,2022-06-08,9
1784,Player 6,Cardio,2022-06-10,8
1785,Player 6,Cardio,2022-06-14,7
1786,Player 6,Cardio,2022-06-15,8
1787,Player 6,Cardio,2022-06-17,8
1788,Player 6,Cardio,2022-06-20,3
1789,Player 6,Cardio,2022-06-21,3
1790,Player 6,Cardio,2022-06-22,8
1791,Player 6,Cardio,2022-06-23,7
1792,Player 6,Cardio,2022-06-24,10
1793,Player 6,Cardio,2022-06-27,5
1794,Player 6,Cardio,2022-06-28,6
1795,Player 6,Cardio,2022-07-01,7
1796,Player 6,Cardio,2022-07-06,7
1797,Player 6,Cardio,2022-07-08,9
1798,Player 6,Cardio,2022-07-11,10
1799,Player 6,Cardio,2022-07-13,10
1800,Player 6,Cardio,2022-07-14,7
1801,Player 6,Cardio,2022-07-15,5
1802,Player 6,Cardio,2022-07-18,6
1803,Player 6,Cardio,2022-07-20,3
1804,Player 6,Cardio,2022-07-22,8
1805,Player 6,Cardio,2022-07-25,5
1806,Player 6,Cardio,2022-07-26,9
1807,Player 6,Cardio,2022-07-28,4
1808,Player 6,Cardio,2022-07-29,6
1809,Player 7,Strength Building,2022-01-05,3
1810,Player 7,Strength Building,2022-01-06,4
1811,Player 7,Strength Building,2022-01-11,9
1812,Player 7,Strength Building,2022-01-13,5
1813,Player 7,Strength Building,2022-01-14,6
1814,Player 7,Strength Building,2022-01-17,8
1815,Player 7,Strength Building,2022-01-18,10
1816,Player 7,Strength Building,2022-01-24,10
1817,Player 7,Strength Building,2022-01-25,5
1818,Player 7,Strength Building,2022-01-26,7
1819,Player 7,Strength Building,2022-01-27,9
1820,Player 7,Strength Building,2022-01-28,3
1821,Player 7,Strength Building,2022-01-31,6
1822,Player 7,Strength Building,2022-02-01,10
1823,Player 7,Strength Building,2022-02-02,4
1824,Player 7,Strength Building,2022-02-07,9
1825,Player 7,Strength Building,2022-02-08,3
1826,Player 7,Strength Building,2022-02-09,3
1827,Player 7,Strength Building,2022-02-10,4
1828,Player 7,Strength Building,2022-02-14,6
1829,Player 7,Strength Building,2022-02-15,5
1830,Player 7,Strength Building,2022-02-16,10
1831,Player 7,Strength Building,2022-02-21,5
1832,Player 7,Strength Building,2022-02-23,4
1833,Player 7,Strength Building,2022-02-25,3
1834,Player 7,Strength Building,2022-02-28,6
1835,Player 7,Strength Building,2022-03-01,6
1836,Player 7,Strength Building,2022-03-03,3
1837,Player 7,Strength Building,2022-03-10,4
1838,Player 7,Strength Building,2022-03-15,10
1839,Player 7,Strength Building,2022-03-17,5
1840,Player 7,Strength Building,2022-03-18,6
1841,Player 7,Strength Building,2022-03-21,4
1842,Player 7,Strength Building,2022-03-23,7
1843,Player 7,Strength Building,2022-03-25,3
1844,Player 7,Strength Building,2022-03-28,6
1845,Player 7,Strength Building,2022-03-29,10
1846,Player 7,Strength Building,2022-03-30,8
1847,Player 7,Strength Building,2022-03-31,10
1848,Player 7,Strength Building,2022-04-01,6
1849,Player 7,Strength Building,2022-04-04,6
1850,Player 7,Strength Building,2022-04-06,7
1851,Player 7,Strength Building,2022-04-07,10
1852,Player 7,Strength Building,2022-04-08,5
1853,Player 7,Strength Building,2022-04-12,10
1854,Player 7,Strength Building,2022-04-18,4
1855,Player 7,Strength Building,2022-04-19,5
1856,Player 7,Strength Building,2022-04-21,8
1857,Player 7,Strength Building,2022-04-22,6
1858,Player 7,Strength Building,2022-04-25,4
1859,Player 7,Strength Building,2022-04-26,4
1860,Player 7,Strength Building,2022-04-28,7
1861,Player 7,Strength Building,2022-04-29,3
1862,Player 7,Strength Building,2022-05-03,6
1863,Player 7,Strength Building,2022-05-04,10
1864,Player 7,Strength Building,2022-05-05,8
1865,Player 7,Strength Building,2022-05-06,8
1866,Player 7,Strength Building,2022-05-09,5
1867,Player 7,Strength Building,2022-05-10,4
1868,Player 7,Strength Building,2022-05-11,10
1869,Player 7,Strength Building,2022-05-12,9
1870,Player 7,Strength Building,2022-05-13,5
1871,Player 7,Strength Building,2022-05-17,5
1872,Player 7,Strength Building,2022-05-18,9
1873,Player 7,Strength Building,2022-05-19,7
1874,Player 7,Strength Building,2022-05-20,6
1875,Player 7,Strength Building,2022-05-23,5
1876,Player 7,Strength Building,2022-05-24,4
1877,Player 7,Strength Building,2022-05-26,3
1878,Player 7,Strength Building,2022-05-27,8
1879,Player 7,Strength Building,2022-05-31,10
1880,Player 7,Strength Building,2022-06-02,3
1881,Player 7,Strength Building,2022-06-06,5
1882,Player 7,Strength Building,2022-06-07,10
1883,Player 7,Strength Building,2022-06-08,5
1884,Player 7,Strength Building,2022-06-09,4
1885,Player 7,Strength Building,2022-06-10,5
1886,Player 7,Strength Building,2022-06-13,3
1887,Player 7,Strength Building,2022-06-14,3
1888,Player 7,Strength Building,2022-06-16,5
1889,Player 7,Strength Building,2022-06-20,4
1890,Player 7,Strength Building,2022-06-21,10
1891,Player 7,Strength Building,2022-06-27,6
1892,Player 7,Strength Building,2022-06-28,8
1893,Player 7,Strength Building,2022-06-29,9
1894,Player 7,Strength Building,2022-07-04,5
1895,Player 7,Strength Building,2022-07-05,8
1896,Player 7,Strength Building,2022-07-06,5
1897,Player 7,Strength Building,2022-07-07,6
1898,Player 7,Strength Building,2022-07-08,10
1899,Player 7,Strength Building,2022-07-12,7
1900,Player 7,Strength Building,2022-07-14,3
1901,Player 7,Strength Building,2022-07-19,6
1902,Player 7,Strength Building,2022-07-20,3
1903,Player 7,Strength Building,2022-07-25,6
1904,Player 7,Strength Building,2022-07-26,10
1905,Player 7,Strength Building,2022-07-27,10
1906,Player 7,Strength Building,2022-07-29,6
1907,Player 7,Agility,2022-01-05,5
1908,Player 7,Agility,2022-01-06,3
1909,Player 7,Agility,2022-01-07,6
1910,Player 7,Agility,2022-01-11,9
1911,Player 7,Agility,2022-01-12,8
1912,Player 7,Agility,2022-01-18,5
1913,Player 7,Agility,2022-01-20,10
1914,Player 7,Agility,2022-01-21,9
1915,Player 7,Agility,2022-01-24,3
1916,Player 7,Agility,2022-01-25,8
1917,Player 7,Agility,2022-01-28,5
1918,Player 7,Agility,2022-02-01,10
1919,Player 7,Agility,2022-02-02,4
1920,Player 7,Agility,2022-02-03,9
1921,Player 7,Agility,2022-02-07,10
1922,Player 7,Agility,2022-02-08,10
1923,Player 7,Agility,2022-02-10,3
1924,Player 7,Agility,2022-02-11,8
1925,Player 7,Agility,2022-02-14,6
1926,Player 7,Agility,2022-02-15,4
1927,Player 7,Agility,2022-02-16,10
1928,Player 7,Agility,2022-02-18,5
1929,Player 7,Agility,2022-02-21,8
1930,Player 7,Agility,2022-02-23,7
1931,Player 7,Agility,2022-02-24,3
1932,Player 7,Agility,2022-02-28,6
1933,Player 7,Agility,2022-03-01,5
1934,Player 7,Agility,2022-03-02,10
1935,Player 7,Agility,2022-03-04,5
1936,Player 7,Agility,2022-03-07,6
1937,Player 7,Agility,2022-03-08,10
1938,Player 7,Agility,2022-03-09,6
1939,Player 7,Agility,2022-03-10,10
1940,Player 7,Agility,2022-03-11,9
1941,Player 7,Agility,2022-03-14,3
1942,Player 7,Agility,2022-03-17,5
1943,Player 7,Agility,2022-03-21,4
1944,Player 7,Agility,2022-03-22,7
1945,Player 7,Agility,2022-03-24,3
1946,Player 7,Agility,2022-03-25,6
1947,Player 7,Agility,2022-03-28,5
1948,Player 7,Agility,2022-03-29,9
1949,Player 7,Agility,2022-03-30,10
1950,Player 7,Agility,2022-03-31,7
1951,Player 7,Agility,2022-04-04,7
1952,Player 7,Agility,2022-04-07,9
1953,Player 7,Agility,2022-04-18,5
1954,Player 7,Agility,2022-04-20,7
1955,Player 7,Agility,2022-04-21,10
1956,Player 7,Agility,2022-04-22,10
1957,Player 7,Agility,2022-04-25,6
1958,Player 7,Agility,2022-04-26,7
1959,Player 7,Agility,2022-04-27,4
1960,Player 7,Agility,2022-05-02,4
1961,Player 7,Agility,2022-05-03,5
1962,Player 7,Agility,2022-05-04,10
1963,Player 7,Agility,2022-05-05,3
1964,Player 7,Agility,2022-05-09,9
1965,Player 7,Agility,2022-05-10,5
1966,Player 7,Agility,2022-05-12,4
1967,Player 7,Agility,2022-05-13,3
1968,Player 7,Agility,2022-05-17,8
1969,Player 7,Agility,2022-05-18,5
1970,Player 7,Agility,2022-05-20,7
1971,Player 7,Agility,2022-05-26,7
1972,Player 7,Agility,2022-05-27,5
1973,Player 7,Agility,2022-05-30,7
